Domaine,Millésime,Appellation,Désignation,Cru,Type,Région,Cépage principal,Début apogée,Fin apogée,Note,Prix achat,Lieu Achat,Date Achat,Nombre,CA Connu,Date dégustation,Ma Note,Commentaire
Cave de Ribeauville,2003,Alsace Pinot Gris,Tokay Pinot gris de Bergheim,,Blanc,Alsace,Pinot Gris,2007,2008,3/5,,Cadeau Faz,16/02/2022,0,,18/06/2023,3,"Tout seul pour avancer la cave vu que je suis seul a aimer ce type de vin. Plus très fruité, plutôt sur le miel. C'est pas mal mais pas à ouvrir avec Cécile ou des amis"
Bodegas Faustino,2008,Rioja Gran Reserva,,,Rouge,Rioja,Tempranillo,2009,2013,2/5,,Espagne,01/09/2018,0,,11/11/2022,"4,5","Avec Mika/Marine/Nico/Cécile, soirée oenologie. Très bon avec roti de boeuf. Pas grande longueur en bouche mais très bon nez et goût fruité. Carafé. Mika l'a préféré à son vin"
Cave de Ribeauville,2002,Alsace Grand Cru,Tokay Pinot gros 'Gloeckelberg',Grand cru,Blanc,Alsace,Pinot Gris,2004,2014,2/5,,Cadeau Faz,16/02/2022,0,0,12/01/2024,"3,5","Pendant que Cécile était en Italie, puis ensuite proposé à Nico et Vangélis. Correct car un peu acide et un peu miel. Ca passe bien à l'apéro"
Domaine Eugène Meyer,2005,Alsace Grand Cru,Spiegel Vendanges Tardives,Grand cru,Blanc moelleux,Alsace,Riesling,2007,2015,4/5,,Cadeau Durin,09/05/2023,1,0,,,
Château Cajus,2010,Bordeaux,Fleur de Cajus,,Rouge,Bordeaux,"Merlot, Cabernet Sauvignon, Cabernet Franc",2013,2015,5/5,20,Salon du Bio,11/11/2019,0,,"14/11/2023
20/12/2023","3
3,5","Je trouve qu'il est passé. Mes parents l'ont plutôt bien aimé étrangement.
Tout seul. Il n'a pas tourné comme le précédent. J'aime bien, mais pas exceptionnel non plus."
Fricot Marbella-Dubost,2007,Champagne,M de Marianne,,Blanc effervescent,Champagne,,2009,2017,3/5,21,Marché,15/11/2017,0,,12/10/2019,"3,5",Crémaillère et annonce fillancailles. Un peu déçu car goût un peu trop prononcé donc écoeurant.
Cloas Segransan,2012,Graves de Vayres,,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Cabernet Sauvignon",2013,2017,3/5,"6,5",Marché,17/11/2019,0,,29/10/2020,3,Très correct surtout vu le prix. Le millésime 2014 bu quelques jours après m'a parru avoir un peu plus de longueur
Granducato,2012,Chianti Classico,Riserva,,Rouge,Toscane,"Sangiovese, Canaiolo",2013,2017,3/5,,,14/02/2018,0,,15/02/2019,"4,5",Soirée Oenologie MIka Isa Cécile. Très bon selon tout le monde
Banceilles,2015,Vin de Pays de Corrèze,1001 Pierres - Le champ du clos,Cuvée spéciale,Rouge,Sud Ouest,,2016,2017,4/5,13,Marché,"15/02/2020
21/11/2020",0,,"09/10/2020
28/11/2021","3,5
3,5","Pas mal du tout. J'avais un souvenir d'un vin plus prononcé avec un doute sur le fait que je l'aime. FInalement, il n'est pas si fort que ça en alcool et passe bien
Vin très correct surtout ouvert longtemps avant"
Melini,2013,Chianti Classico,Vigneti La Selvanella,Riserva,Rouge,Toscane,"Sangiovese (Brunello), Canaiolo",2014,2018,4/5,"21,9",Aéroport,19/06/2019,0,,09/08/2019,"2,5","Soirée chez Mika avec Cécile. Trop léger, goût d'eau et rien ne reste en bouche sauf un petit goût amer et astreingeant"
l'Amiral,2013,Minervois,Cuvée Prestige,,Rouge,Languedoc Roussillon,"Grenache, Carignan vieilles vignes",2015,2018,2/5,20,Marché,16/11/2019,0,,31/07/2020,"3,5",Avec Elodie et Ronan. J'ai bien aimé mais j'avais l'impression d'un léger pétillant. Peut-être à laisser décanter avant vu l'année
l'Amiral,2015,Pays d'Oc - Marselan,Le voyage de l'Amiral,,Rouge,Languedoc Roussillon,Marselan,2016,2018,4/5,14,Marché,16/11/2019,0,,02/11/2021,4,Avec Anne-Laure et Greg. Sur des pates à l'arabiata. Goût de figue et fruit confit très prononcé. J'ai aimé. Cécile a adoré. Les invités je ne pense pas
Les Jamelles,2015,Vin de Pays d'Oc,,,Blanc,Languedoc Roussillon,Chardonnay,2016,2018,4/5,,Nicolas,31/12/2017,0,,15/03/2019,3,"Chez moi avec Cécile et Mel. Correct, sans plus"
1001 Pierres,2016,Corrèze,Le Champ du Clos,,Rouge,Sud Ouest,,2017,2018,4/5,"13,5",Producteur,16/02/2025,1,"13,5",,,
Baron de Ley,2014,Rioja,Finca Monasterio,,Rouge,Rioja,Tempranillo,2015,2019,4/5,,Espagne,01/09/2018,1,0,,,
Cloas Segransan,2014,Graves de Vayres,,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Cabernet Sauvignon",2015,2019,3/5,"6,5",Marché,17/11/2019,0,,01/11/2020,"3,5",Un cran au dessus du 2012. Je peux en racheter au marché car vu le prix il est vraiment pas mal. Il peut peut être vieillir encore un peu
Marqués de Caceres,2014,Rioja Reserva,,Grand Reserva,Rouge,Rioja,Tempranillo,2015,2019,4/5,,Aéroport,24/06/2022,0,0,"12/04/2024
01/08/2025","3,5
4","Avec Nico et Vangelis. J'ai bien aimé, mais pas le lendemain malgré le bouchon vide d'air, il semble avoir tourné
Avec Nico et Mika. Correct mais pas fou non plus pour moi. Mais Mika a beaucoup aimé"
Marqués de Riscal,2014,Rioja Reserva,"
","
",Rouge,Rioja,Tempranillo,2015,2019,4/5,,Espagne,01/09/2018,1,0,,,
Domaine de la Clapière,2016,Vin de Pays d'Oc,Jardin de Jules,,Rouge,Languedoc Roussillon,"Syrah, Cabernet Sauvignon, Merlot",2017,2019,4/5,,Nicolas,31/12/2017,0,,25/10/2019,2,Etrange. Acidité trop prononcé et pas de corps. Ne pas racheter.
Luc Faller,2010,Riesling Vendanges Tardives,Cuvée Matthias,"
",Blanc moelleux,Alsace,Riesling,2012,2020,4/5,27,Salon,02/12/2018,0,,31/12/2021,"4,5",Pour le nouvel avec avec Chouch Mag Nico et Cécile. J'ai beaucoup aimé mais je pense être le seul
Batasiolo,2015,Barolo,,Riserva,Rouge,Piémont,Nebbiolo,2016,2020,4/5,"45,5",Aéroport,18/01/2023,0,0,01/08/2025,4,Avec Nico et Mika. Moi j'ai été légèrement déçu mais Mika a beaucoup aimé
Château de Davenay,2014,Montagny,Clos Chaudron,1er cru,Blanc,Bourgogne,Chardonnay,2016,2020,5/5,"11,5",Vente-Privée,25/01/2019,0,,"04/05/2019
02/03/2020
04/08/2021","4
4
3,5","Soirée Mikie, Cécile. Très bon même si une préférence pour le saint aubin
A la maison avec Cécile. Il est puissant mais j'aime vraiment bien, surtout à ce prix
Avec Cécile. Moins aimé que les précédentes fois. Pas mal mais un peu trop sec et pas assez fruité à mon goût/"
Château du Galoupet,2014,Côtes de Provence,Cuvée Equipage,Cru classé,Rouge,Provence,"Syrah, Grenache Noir, Cabernet Sauvignon",2016,2020,4/5,11,Auchan,15/12/2018,0,,"13/04/2019
21/12/2019","4
4","""Crémaillère"" Claire. Vraiment pas mal. Tanique. Chouch a adoré
Soirée chez Jay avec Vaness et Vinvin. Toujours très bien"
Dampt Frères,2015,Petit Chablis,,Vieilles Vignes,Blanc,Bourgogne,Chardonnay,2016,2020,4/5,"9,95",Super U,09/02/2018,0,,"14/02/2019
23/02/2019","3,5
3,5","Saint Valentin. Bon mais avec plus de corps dans mon souvenir
Soirée révélation. Toujours bon"
Santa Margherita,2015,Chianti Classico,,Riserva,Rouge,Toscane,"Sangiovese (Brunello), Canaiolo",2016,2020,4/5,"16,5",Aéroport,19/06/2019,1,"16,5",,,
Famille Perrin,2015,Vinsobres,Les Cornuds,,Rouge,Vallée du Rhône,"Grenache Noir, Syrah, Cinsault",2017,2020,5/5,"9,9",Monoprix,14/01/2018,0,,"01/02/2019
10/02/2019
27/04/2019","3
2,5
2,5","Avec Parents Cécile. Pas mauvais mais un peu trop âpre sur la fin
Brunch Véro/Jay. Toujours pas super. Vin de table
Crémaillère cousin de Cécile. Toujours pas super."
Fournier Pere & Fils,2015,Sancerre,Les Caillottes,,Blanc,Val de Loire et Centre,Sauvignon Blanc,2017,2020,4/5,,Veepee,24/04/2020,0,,24/01/2021,4,Bu avec Mika et Marine à l'apéro. Mika a beaucoup aimé.
Fournier Pere & Fils,2015,Sancerre,La Chaudouillonne,Grande cuvée,Blanc,Val de Loire et Centre,Sauvignon Blanc,2017,2020,4/5,,Veepee,24/04/2020,0,,21/06/2021,4,Avec Jess et Mathieur. Déroutant car boisé mais très bon
l'Amiral,2015,Minervois,Cuvée Prestige,,Rouge,Languedoc Roussillon,"Grenache, Carignan vieilles vignes",2017,2020,4/5,20,Marché,24/05/2020,1,20,,,
Richard Meyran,2015,Bourgogne,,,Blanc,Bourgogne,Chardonnay,2017,2020,4/5,,Suresnes,01/11/2017,0,,19/01/2019,"3,5",Avec Mika. Vin atypique non filtré. Pas mal
